"SCH";"slots.from.1.to.3";"slots.from.3.to.inf";"all.from.1.to.3";"all.from.3.to.inf";"NA"
"153";NA;1;NA;14;"Aidas"
"31";0;0;15;225;"Aitvaras"
"143";0;45;31;148;"Berželis"
"35";0;0;32;38;"Bildukas"
"42";NA;0;NA;191;"Delfinukas"
"45";0;0;29;85;"Drugelis"
"46";0;0;29;78;"Du gaideliai"
"49";0;1;34;219;"Gandriukas"
"186";NA;0;NA;81;"Giliukas"
"152";0;0;31;169;"Justinukas"
"60";0;0;44;95;"Kaštonas"
"67";NA;1;NA;97;"Lašelis"
"70";0;0;16;56;"Linelis"
"73";0;0;18;100;"Mažylis"
"76";NA;0;NA;79;"Naminukas"
"78";0;1;43;200;"Nykštukas"
"81";0;0;16;97;"Pagrandukas"
"86";0;0;16;202;"Pasaka"
"165";0;0;45;213;"Pilaitukas"
"91";0;1;32;182;"Pipiras"
"97";0;0;49;166;"Raktelis"
"98";NA;0;NA;212;"Rasa"
"99";0;0;33;188;"Rugelis"
"107";NA;0;NA;24;"Salvija"
"147";0;0;33;183;"Šilelis"
"117";0;0;28;72;"Šnekutis"
"112";0;0;36;188;"Spragtukas"
"157";0;0;29;159;"Spygliukas"
"113";0;0;33;194;"Strazdelis"
"114";0;0;30;175;"Sveikuolis"
"118";0;0;19;239;"Užupiukas"
"120";0;0;15;237;"Vandenis"
"121";0;0;31;212;"Varpelis"
"158";0;0;30;193;"Vieversys"
"166";NA;0;NA;159;"Vilija"
"167";NA;3;NA;11;"Viltis"
"171";NA;0;NA;115;"Žaliakalnio"
"131";0;0;34;230;"Žemyna"
"134";0;0;38;239;"Žiedas"
"135";0;0;37;193;"Žilvitis"
"141";0;0;17;143;"Žirniukas"
